Ticker,TradeDate,Open,High,Low,Close,Volume,Change,ChangePercent
AVHI,9/17/2013 12:00:00 AM,,,,,17572,0.1200,0.7440
AVID,9/17/2013 12:00:00 AM,,,,,837767,-0.0800,-1.5090
AVT,9/17/2013 12:00:00 AM,,,,,902395,0.2584,0.6810
AVX,9/17/2013 12:00:00 AM,,,,,83922,-0.0952,-0.8140
AVY,9/17/2013 12:00:00 AM,,,,,865704,-0.0715,-0.1810
AWI,9/17/2013 12:00:00 AM,,,,,414102,0.2000,0.3790
AWK,9/17/2013 12:00:00 AM,,,,,980578,0.3125,0.8940
AWR,9/17/2013 12:00:00 AM,,,,,346232,0.6875,3.0530
AXAS,9/17/2013 12:00:00 AM,,,,,765893,0.1200,4.8390
AXDX,9/17/2013 12:00:00 AM,,,,,32413,0.0100,0.1040
AXE,9/17/2013 12:00:00 AM,,,,,82810,0.7945,0.9550
AXGN,9/17/2013 12:00:00 AM,,,,,43657,0.2100,4.9070
AXL,9/17/2013 12:00:00 AM,,,,,1930044,0.8100,4.1750
AXP,9/17/2013 12:00:00 AM,,,,,4013790,1.2262,1.7460
AXS,9/17/2013 12:00:00 AM,,,,,569306,0.3183,0.8350
AXTI,9/17/2013 12:00:00 AM,,,,,65640,0.0400,1.7090
AYI,9/17/2013 12:00:00 AM,,,,,342641,2.8236,3.1790
AYR,9/17/2013 12:00:00 AM,,,,,1163666,-0.0478,-0.3490
AZO,9/17/2013 12:00:00 AM,,,,,408334,6.6200,1.6070
AZPN,9/17/2013 12:00:00 AM,,,,,339132,0.1500,0.4320
AZZ,9/17/2013 12:00:00 AM,,,,,304622,1.0977,2.8330
B,9/17/2013 12:00:00 AM,,,,,251460,0.3208,1.0050
BA,9/17/2013 12:00:00 AM,,,,,5309265,1.2677,1.2450
BABY,9/17/2013 12:00:00 AM,,,,,119024,0.4300,3.2040
BAC,9/17/2013 12:00:00 AM,,,,,73498985,0.0188,0.1380
BAH,9/17/2013 12:00:00 AM,,,,,230213,0.1323,0.8730
BANC,9/17/2013 12:00:00 AM,,,,,56068,0.2131,1.8630
BANF,9/17/2013 12:00:00 AM,,,,,23794,0.4033,1.6770
BANR,9/17/2013 12:00:00 AM,,,,,103759,0.3790,1.1510
BAS,9/17/2013 12:00:00 AM,,,,,2145,-148.2243,-2.0080
BAX,9/17/2013 12:00:00 AM,,,,,2001578,-0.1694,-0.4730
BBBY,9/17/2013 12:00:00 AM,,,,,1897129,1.2454,1.7580
BBGI,9/17/2013 12:00:00 AM,,,,,10557,0.0697,1.0610
BBSI,9/17/2013 12:00:00 AM,,,,,36672,2.0029,3.2000
BBT,9/17/2013 12:00:00 AM,,,,,4002662,0.5039,1.6820
BBX,9/17/2013 12:00:00 AM,,,,,22000,0.0396,1.6670
BBY,9/17/2013 12:00:00 AM,,,,,4407919,0.5434,1.6440
BC,9/17/2013 12:00:00 AM,,,,,959531,0.0188,0.0490
BCBP,9/17/2013 12:00:00 AM,,,,,16535,0.0000,0.0000
BCC,9/17/2013 12:00:00 AM,,,,,235326,0.4273,1.6980
BCEI,9/17/2013 12:00:00 AM,,,,,1612,64.7210,1.2760
BCML,9/17/2013 12:00:00 AM,,,,,20800,-0.3000,-3.1580
BCO,9/17/2013 12:00:00 AM,,,,,131789,0.1507,0.5880
BCOR,9/17/2013 12:00:00 AM,,,,,606581,0.8700,4.0850
BCOV,9/17/2013 12:00:00 AM,,,,,443166,0.3500,3.2140
BCPC,9/17/2013 12:00:00 AM,,,,,43327,-0.3221,-0.6620
BCRX,9/17/2013 12:00:00 AM,,,,,1380363,-0.0800,-1.2270
BDC,9/17/2013 12:00:00 AM,,,,,210302,0.5029,0.7990
BDGE,9/17/2013 12:00:00 AM,,,,,13431,0.0852,0.4630
BDN,9/17/2013 12:00:00 AM,,,,,1082474,-0.0244,-0.2280
BDX,9/17/2013 12:00:00 AM,,,,,484451,0.0645,0.0690
BEAT,9/17/2013 12:00:00 AM,,,,,751277,-0.0900,-0.8730
BECN,9/17/2013 12:00:00 AM,,,,,377144,0.0300,0.0850
BEL,9/17/2013 12:00:00 AM,,,,,229417,-0.1200,-0.9370
